City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hasaki,35.7333,140.8333,10.68,72,2,5.0,JP,1680279849
84,nikolskoye,59.7035,30.7861,0.94,99,100,1.93,RU,1680279849
85,esperance,-33.8667,121.9,17.93,74,100,6.35,AU,1680279850
86,punta arenas,-53.15,-70.9167,10.01,57,0,15.95,CL,1680279665
87,the valley,18.217,-63.0578,28.92,57,20,7.2,AI,1680279850
88,mazamari,-11.3258,-74.5308,30.21,51,87,1.3,PE,1680279850
89,new norfolk,-42.7826,147.0587,8.84,65,23,0.45,AU,1680279850
90,kutum,14.2,24.6667,27.52,11,4,6.19,SD,1680279850
91,georgetown,5.4112,100.3354,29.97,76,20,2.57,MY,1680279826
92,sorland,67.667,12.6934,2.92,56,67,10.83,NO,1680279850
93,kalaleh,37.3807,55.4916,11.78,87,100,4.12,IR,1680279850
94,maceio,-9.6658,-35.7353,30.69,62,75,5.14,BR,1680279851
95,vostok,46.4856,135.8833,-5.11,88,5,1.51,RU,1680279851
96,kapaa,22.0752,-159.319,22.99,94,100,1.34,US,1680279851
97,olenino,56.2092,33.4889,0.45,83,71,1.91,RU,1680279851
98,mahebourg,-20.4081,57.7,27.36,83,40,5.14,MU,1680279851
99,kloulklubed,7.0419,134.2556,24.28,71,3,0.98,PW,1680279851
100,rosario do sul,-30.2583,-54.9142,26.66,80,89,6.58,BR,1680279851
101,okany,46.9,21.35,18.3,63,58,4.03,HU,1680279851
102,butaritari,3.0707,172.7902,27.03,80,100,3.49,KI,1680279852
103,ponta do sol,32.6667,-17.1,24.51,49,0,3.08,PT,1680279852
104,fortuna,40.5982,-124.1573,9.81,78,100,3.58,US,1680279852
105,coahuayana,18.7333,-103.6833,32.27,17,25,1.61,MX,1680279852
106,upernavik,72.7868,-56.1549,-24.56,85,3,3.7,GL,1680279852
107,mataura,-46.1927,168.8643,7.76,99,92,1.45,NZ,1680279852
108,saint-pierre,-21.3393,55.4781,26.82,89,20,2.57,RE,1680279852
109,gornopravdinsk,60.05,69.9,-2.39,81,59,4.42,RU,1680279852
110,saint anthony,45.0205,-93.218,2.91,92,100,6.69,US,1680279853
111,salalah,17.0151,54.0924,28.05,69,0,3.09,OM,1680279639
112,agalteca,14.45,-87.2667,25.74,31,4,3.67,HN,1680279853
113,tiksi,71.6872,128.8694,-31.06,99,47,3.44,RU,1680279853
114,gwadar,25.1216,62.3254,24.72,71,0,4.81,PK,1680279853
115,sur,22.5667,59.5289,27.4,44,1,2.94,OM,1680279853
116,kautokeino,69.0125,23.0412,-3.81,77,58,10.51,NO,1680279853
117,bengkulu,-3.8004,102.2655,24.24,89,93,1.8,ID,1680279853
118,richards bay,-28.783,32.0377,21.75,81,84,3.6,ZA,1680279853
119,acapulco,16.8634,-99.8901,29.9,54,40,1.54,MX,1680279854
120,victoria,22.2855,114.1577,21.03,90,100,5.81,HK,1680279854
121,salamiyah,35.0113,37.0532,7.44,60,4,8.3,SY,1680279854
122,kapiri mposhi,-13.9652,28.6809,18.59,95,100,1.28,ZM,1680279854
123,dangriga,16.9692,-88.2321,27.14,67,2,6.78,BZ,1680279854
124,okakarara,-20.5833,17.4333,31.1,13,3,1.64,NA,1680279854
125,birao,10.2849,22.7882,36.52,10,84,4.18,CF,1680279854
126,lebu,-37.6167,-73.65,16.23,53,7,4.15,CL,1680279854
127,predivinsk,57.0669,93.4378,-12.4,81,91,3.02,RU,1680279855
128,chipinge,-20.1883,32.6236,18.27,75,82,3.73,ZW,1680279855
129,krasnogorodsk,56.8357,28.2822,2.41,98,100,3.74,RU,1680279855
130,bonoua,5.2741,-3.595,30.79,66,100,3.75,CI,1680279855
131,porto novo,6.4965,2.6036,29.9,76,100,3.08,BJ,1680279855
132,hithadhoo,-0.6,73.0833,28.36,72,14,2.4,MV,1680279855
133,sitka,57.0531,-135.33,5.94,61,100,4.12,US,1680279855
134,manado,1.487,124.8455,25.43,94,40,0.51,ID,1680279855
135,kaitangata,-46.2817,169.8464,11.63,96,54,2.05,NZ,1680279856
136,okhotsk,59.3833,143.3,-4.36,93,100,1.35,RU,1680279856
137,panaba,21.2833,-88.2667,31.49,40,27,6.11,MX,1680279856
138,balikpapan,-1.2675,116.8289,22.55,100,40,3.6,ID,1680279856
139,inirida,3.8653,-67.9239,26.18,88,96,1.19,CO,1680279856
140,coihaique,-45.5752,-72.0662,6.34,70,100,2.57,CL,1680279856
141,padang,-0.9492,100.3543,24.03,86,100,1.59,ID,1680279676
142,ancud,-41.8697,-73.8203,12.63,55,100,2.95,CL,1680279856
143,takoradi,4.8845,-1.7554,29.42,67,100,5.14,GH,1680279856
144,port elizabeth,-33.918,25.5701,19.16,79,0,3.6,ZA,1680279857
145,kruisfontein,-34.0033,24.7314,17.71,71,55,3.53,ZA,1680279857
146,tarakan,3.3,117.6333,27.13,77,98,1.24,ID,1680279857
147,itarema,-2.9248,-39.9167,28.25,75,40,4.42,BR,1680279857
148,ketchikan,55.3422,-131.6461,3.26,93,100,7.2,US,1680279857
149,otjiwarongo,-20.4637,16.6477,29.89,15,2,4.18,NA,1680279857
150,kavieng,-2.5744,150.7967,27.14,75,95,1.54,PG,1680279857
151,yulara,-25.2406,130.9889,17.03,67,100,7.63,AU,1680279563
152,general pico,-35.6566,-63.7568,18.83,25,5,6.25,AR,1680279858
153,ajijic,20.3,-103.2833,24.41,29,47,0.64,MX,1680279858
154,jaisalmer,26.9147,70.9181,26.35,36,7,3.01,IN,1680279858
155,ribeira grande,38.5167,-28.7,18.22,88,40,5.81,PT,1680279858
156,ede,52.0333,5.6583,11.68,91,75,5.14,NL,1680279816
157,ewa beach,21.3156,-158.0072,22.97,90,0,1.54,US,1680279858
158,calintaan,12.5667,120.9333,25.34,73,39,2.04,PH,1680279858
159,felanitx,39.4696,3.1483,23.96,51,100,3.49,ES,1680279858
160,tias,28.9611,-13.645,25.82,32,0,11.83,ES,1680279665
161,cherskiy,68.75,161.3,-4.96,97,100,1.47,RU,1680279859
162,lovozero,68.005,35.0117,-9.27,94,97,2.03,RU,1680279859
163,losevo,50.6767,40.045,2.18,96,100,6.76,RU,1680279859
164,cayenne,4.9333,-52.3333,30.02,62,75,6.69,GF,1680279859
165,amahai,-3.3333,128.9167,25.81,86,100,1.53,ID,1680279859
166,lichuan,30.3,108.85,9.69,96,80,0.76,CN,1680279859
167,san quintin,30.4833,-115.95,13.11,60,98,1.37,MX,1680279859
168,almeirim,-1.5233,-52.5817,27.47,82,100,1.91,BR,1680279859
169,fengzhen,40.4394,113.1536,9.35,41,92,4.37,CN,1680279859
170,buchanan,5.8808,-10.0467,29.45,69,69,4.88,LR,1680279860
171,laguna,38.421,-121.4238,11.53,76,20,1.54,US,1680279860
172,suntar,62.1444,117.6319,-14.04,94,100,3.36,RU,1680279860
173,veraval,20.9,70.3667,24.98,75,0,4.59,IN,1680279860
174,pimenta bueno,-11.6725,-61.1936,30.89,60,95,1.76,BR,1680279860
175,san cristobal,7.7669,-72.225,23.1,63,99,2.37,VE,1680279860
176,lokosovo,61.1333,74.8167,-7.66,91,90,3.53,RU,1680279860
177,provideniya,64.3833,-173.3,-16.47,90,18,3.06,RU,1680279860
178,socota,6.0403,-72.6351,15.97,67,91,2.46,CO,1680279861
179,popondetta,-8.7537,148.2534,22.87,96,85,1.51,PG,1680279861
180,pizarro,4.9533,-77.366,27.8,80,94,0.72,CO,1680279861
181,northam,51.0333,-4.2167,10.14,97,100,12.41,GB,1680279737
182,asau,46.4333,26.4,9.6,80,70,2.23,RO,1680279861
183,port lincoln,-34.7333,135.8667,15.55,66,94,5.52,AU,1680279861
184,la asuncion,11.0333,-63.8628,28.85,65,29,7.72,VE,1680279861
185,sept-iles,50.2001,-66.3821,1.14,87,100,3.09,CA,1680279861
186,boueni,-12.9025,45.0761,27.99,74,100,3.54,YT,1680279862
187,monte patria,-30.6919,-70.9467,28.94,24,0,3.47,CL,1680279862
188,batemans bay,-35.7167,150.1833,16.72,83,32,1.69,AU,1680279862
189,viedma,-40.8135,-62.9967,16.0,32,53,4.46,AR,1680279708
190,arraial do cabo,-22.9661,-42.0278,30.98,70,0,4.63,BR,1680279862
191,gat,31.61,34.7642,16.01,20,30,4.23,IL,1680279862
192,morro bay,35.3658,-120.8499,13.52,81,78,0.45,US,1680279862
193,rocha,-34.4833,-54.3333,20.51,52,96,9.07,UY,1680279863
194,nardaran,40.5561,50.0056,4.8,87,100,10.29,AZ,1680279863
195,tigil,57.8,158.6667,-1.11,81,100,5.17,RU,1680279863
196,riohacha,11.5444,-72.9072,30.06,54,75,7.2,CO,1680279863
197,airai,-8.9266,125.4092,15.38,94,99,0.88,TL,1680279863
198,deputatskiy,69.3,139.9,-23.75,95,100,2.28,RU,1680279863
199,lompoc,34.6391,-120.4579,12.69,82,20,2.24,US,1680279863
200,vangaindrano,-23.35,47.6,24.06,91,39,1.4,MG,1680279864
201,touros,-5.1989,-35.4608,29.35,62,82,6.26,BR,1680279864
202,capitan bado,-23.2667,-55.5333,28.57,66,0,1.16,PY,1680279864
203,guerrero negro,27.9769,-114.0611,15.04,54,23,5.06,MX,1680279864
204,bathsheba,13.2167,-59.5167,31.34,58,40,11.32,BB,1680279864
205,kumluca,36.3703,30.2869,12.58,52,32,1.37,TR,1680279629
206,quatre cocos,-20.2078,57.7625,27.27,83,10,5.14,MU,1680279864
207,plettenberg bay,-34.0527,23.3716,16.9,76,9,0.81,ZA,1680279864
208,digby,44.6169,-65.7655,2.53,57,75,6.02,CA,1680279864
209,saint-philippe,-21.3585,55.7679,26.77,85,48,5.4,RE,1680279865
210,torbay,47.6666,-52.7314,2.38,81,20,3.6,CA,1680279865
211,yerofey pavlovich,53.9667,121.9667,-1.16,97,80,2.69,RU,1680279865
212,pacific grove,36.6177,-121.9166,11.35,78,0,2.57,US,1680279865
213,khatanga,71.9667,102.5,-22.12,95,88,5.85,RU,1680279865
214,carnarvon,-24.8667,113.6333,23.52,71,86,3.37,AU,1680279865
215,indianola,41.3581,-93.5574,24.27,75,97,7.29,US,1680279865
216,lumphat,13.4878,106.9816,24.0,88,20,1.54,KH,1680279865
217,udachnyy,66.4167,112.4,-29.43,100,94,2.47,RU,1680279866
218,aswan,24.0934,32.907,22.86,16,3,6.51,EG,1680279591
219,havoysund,70.9963,24.6622,-0.87,86,100,14.94,NO,1680279866
220,mitsamiouli,-11.3847,43.2844,28.02,72,68,1.3,KM,1680279866
221,kaka,37.3482,59.6143,23.71,25,59,2.96,TM,1680279723
222,nome,64.5011,-165.4064,-6.96,73,75,5.14,US,1680279866
223,severo-kurilsk,50.6789,156.125,-0.37,74,2,3.07,RU,1680279866
224,pascagoula,30.3658,-88.5561,24.4,83,100,5.66,US,1680279866
225,bubaque,11.2833,-15.8333,25.8,71,1,4.41,GW,1680279866
226,berlevag,70.8578,29.0864,-5.0,79,0,4.63,NO,1680279639
227,pilar,-9.5972,-35.9567,29.96,50,20,4.18,BR,1680279867
228,pangai,-19.8,-174.35,27.46,71,25,5.11,TO,1680279867
229,emba,48.8264,58.1442,16.45,49,39,8.44,KZ,1680279867
230,irbil,36.1926,44.0106,6.9,70,40,1.03,IQ,1680279862
231,los llanos de aridane,28.6585,-17.9182,26.86,28,0,7.2,ES,1680279867
232,yarada,17.65,83.2667,28.18,78,40,2.57,IN,1680279867
233,manga,11.6636,-1.0731,38.95,5,12,4.25,BF,1680279867
234,thinadhoo,0.5333,72.9333,28.18,70,2,1.25,MV,1680279867
235,pisco,-13.7,-76.2167,26.03,73,0,4.63,PE,1680279867
236,pangnirtung,66.1451,-65.7125,-12.5,85,27,1.25,CA,1680279868
237,north bend,43.4065,-124.2243,7.91,91,100,4.63,US,1680279868
238,aquidauana,-20.4711,-55.7872,33.56,49,0,1.18,BR,1680279868
239,chokurdakh,70.6333,147.9167,-21.39,95,100,4.58,RU,1680279868
240,leningradskiy,69.3833,178.4167,-19.66,86,28,2.74,RU,1680279868
241,beringovskiy,63.05,179.3167,-14.5,91,7,3.86,RU,1680279868
242,kokopo,-4.352,152.2633,24.46,86,99,1.79,PG,1680279868
243,saint-leu,-21.15,55.2833,26.48,98,42,1.42,RE,1680279868
244,jalingo,8.8833,11.3667,39.11,7,48,1.95,NG,1680279628
245,mersing,2.4312,103.8405,25.95,89,20,1.54,MY,1680279869
246,lata,40.1629,-8.3327,17.73,49,100,4.17,PT,1680279869
247,erenhot,43.6475,111.9767,11.31,41,69,6.09,CN,1680279869
248,beira,-19.8436,34.8389,27.05,74,20,2.57,MZ,1680279869
249,burns lake,54.2331,-125.7533,-1.32,95,100,1.3,CA,1680279869
250,katsuura,35.1333,140.3,14.9,75,4,4.36,JP,1680279869
251,rawah,34.4816,41.9093,11.49,21,2,8.56,IQ,1680279869
252,sibolga,1.7427,98.7792,25.53,83,100,1.35,ID,1680279870
253,pulandian,39.3953,121.9669,10.81,47,4,1.36,CN,1680279870
254,yerbogachen,61.2767,108.0108,-20.96,100,100,1.63,RU,1680279870
255,saldanha,-33.0117,17.9442,17.87,78,26,8.01,ZA,1680279870
256,akropong,5.9746,-0.0854,25.53,46,96,5.48,GH,1680279870
257,tuatapere,-46.1333,167.6833,8.99,92,98,2.58,NZ,1680279870
258,tura,25.5198,90.2201,18.28,94,64,2.08,IN,1680279870
259,otradnoye,59.7775,30.8181,1.03,99,100,2.12,RU,1680279776
260,constitucion,-35.3333,-72.4167,21.43,40,0,4.18,CL,1680279871
261,bulawayo,-20.15,28.5833,17.92,85,99,2.72,ZW,1680279871
262,acri,39.4929,16.3838,13.69,46,0,5.66,IT,1680279871
263,sao jose da coroa grande,-8.8978,-35.1478,28.65,59,35,3.56,BR,1680279871
264,caravelas,-17.7125,-39.2481,30.76,53,30,4.53,BR,1680279871
265,snyder,32.7179,-100.9176,19.62,23,0,10.29,US,1680279871
266,cairns,-16.9167,145.7667,26.15,97,75,0.0,AU,1680279871
267,billings,45.7833,-108.5007,1.39,83,100,1.54,US,1680279872
268,cam ranh,11.9214,109.1591,25.98,89,20,0.51,VN,1680279872
269,qaqortoq,60.7167,-46.0333,-2.84,67,19,1.14,GL,1680279872
270,flagstaff,35.1981,-111.6513,2.69,59,0,4.12,US,1680279872
271,hovd,48.0056,91.6419,-9.23,41,51,4.28,MN,1680279872
272,boyolangu,-8.1181,111.8935,23.88,90,100,1.33,ID,1680279872
273,dakar,14.6937,-17.4441,31.49,74,4,4.73,SN,1680279872
274,marzuq,14.4,46.4667,25.06,66,9,5.48,YE,1680279873
275,port macquarie,-31.4333,152.9167,13.27,73,56,2.23,AU,1680279873
276,suphan buri,14.4742,100.1222,28.02,74,62,6.44,TH,1680279873
277,vila velha,-20.3297,-40.2925,33.97,43,20,5.14,BR,1680279873
278,mount darwin,-16.7725,31.5838,21.73,68,100,2.7,ZW,1680279873
279,lazarev,52.225,141.5131,-8.04,99,45,0.75,RU,1680279873
280,nanortalik,60.1432,-45.2371,-1.74,77,55,2.94,GL,1680279873
281,qasigiannguit,68.8193,-51.1922,-11.86,78,2,1.45,GL,1680279874
282,jinchang,38.4953,102.1739,13.56,19,95,1.02,CN,1680279874
283,cururupu,-1.8283,-44.8683,26.86,89,100,2.4,BR,1680279874
284,sompeta,18.9333,84.6,26.95,80,46,5.53,IN,1680279874
285,bethel,41.3712,-73.414,9.94,50,75,4.12,US,1680279874
286,blackwater,-23.5833,148.8833,21.81,71,67,3.27,AU,1680279874
287,isangel,-19.55,169.2667,24.86,79,100,1.53,VU,1680279874
288,dedougou,12.4667,-3.4667,39.38,4,34,5.17,BF,1680279874
289,yuncheng,35.0231,110.9928,13.89,72,35,2.68,CN,1680279874
290,plyussa,58.4308,29.3654,1.92,99,100,2.07,RU,1680279875
291,copiapo,-27.3667,-70.3333,20.83,50,12,2.87,CL,1680279875
292,bull savanna,17.8868,-77.5902,26.59,62,21,4.49,JM,1680279875
293,iberia,29.9502,-91.7507,26.04,73,40,10.8,US,1680279875
294,banjar,-8.19,114.9675,24.77,88,100,2.83,ID,1680279875
295,surgut,61.25,73.4167,-3.9,49,0,3.13,RU,1680279846
296,egvekinot,66.3167,-179.1667,-23.23,100,100,0.79,RU,1680279875
297,srednekolymsk,67.45,153.6833,-15.53,93,100,8.7,RU,1680279875
298,mount isa,-20.7333,139.5,24.87,25,38,4.12,AU,1680279876
299,takhatgarh,25.3333,73.0,24.57,45,43,3.18,IN,1680279876
300,bandarbeyla,9.4942,50.8122,27.61,71,2,4.13,SO,1680279876
301,waipawa,-41.4122,175.5153,11.87,86,99,3.24,NZ,1680279876
302,rio gallegos,-51.6226,-69.2181,11.03,35,0,3.09,AR,1680279876
303,grand gaube,-20.0064,57.6608,27.43,75,2,2.24,MU,1680279876
304,kharan,28.5833,65.4167,24.99,25,3,2.96,PK,1680279876
305,aksu,41.1231,80.2644,16.14,20,0,2.18,CN,1680279876
306,havelock,34.8791,-76.9013,23.99,59,40,9.26,US,1680279877
307,tavricheskoye,54.5851,73.6395,-3.05,93,7,2.38,RU,1680279877
308,shaunavon,49.6501,-108.4181,-6.12,97,96,5.51,CA,1680279877
309,salinopolis,-0.6136,-47.3561,25.07,92,100,5.0,BR,1680279877
310,sao miguel,-5.4667,-35.3667,30.43,62,96,6.38,BR,1680279877
311,cabo san lucas,22.8909,-109.9124,24.78,50,0,2.06,MX,1680279877
312,svirsk,53.0858,103.3325,-8.21,72,51,5.46,RU,1680279877
313,lazaro cardenas,17.9583,-102.2,28.93,44,98,1.39,MX,1680279877
314,vestmanna,62.1564,-7.1664,6.51,87,100,10.29,FO,1680279878
315,la ronge,55.1001,-105.2842,-7.86,53,75,2.57,CA,1680279878
316,pokhara,28.2333,83.9833,15.51,71,99,2.3,NP,1680279829
317,nantucket,41.2835,-70.0995,8.08,43,0,5.66,US,1680279878
318,catuday,16.2923,119.8062,25.25,82,8,2.94,PH,1680279878
319,dingle,10.9995,122.6711,24.95,78,80,3.06,PH,1680279878
320,huatulco,15.8436,-96.3267,32.15,48,20,0.0,MX,1680279762
321,lasa,46.6166,10.7002,8.35,99,100,1.99,IT,1680279878
322,narsaq,60.9167,-46.05,2.12,52,14,0.95,GL,1680279878
323,freeport,40.6576,-73.5832,11.4,63,0,7.72,US,1680279879
324,la salle,41.3334,-89.0918,18.2,62,100,9.26,US,1680279879
325,gardez,33.5974,69.2259,8.7,68,59,1.56,AF,1680279879
326,kangaatsiaq,68.3065,-53.4641,-19.85,87,44,3.87,GL,1680279879
327,tondano,1.3038,124.9112,21.05,94,72,0.84,ID,1680279879
328,juruti,-2.1522,-56.0922,29.81,63,90,1.99,BR,1680279879
329,sao filipe,14.8961,-24.4956,25.03,68,51,3.93,CV,1680279879
330,namatanai,-3.6667,152.4333,26.08,80,99,1.71,PG,1680279879
331,yuyao,30.05,121.1494,11.87,94,100,1.61,CN,1680279879
332,dondo,-19.6094,34.7431,26.73,80,51,1.99,MZ,1680279880
333,vilyuysk,63.7553,121.6247,-22.28,95,100,2.32,RU,1680279880
334,sakakah,29.9697,40.2064,16.76,21,0,5.97,SA,1680279880
335,agadir,30.4202,-9.5982,34.25,31,0,2.77,MA,1680279880
336,baruun-urt,46.6806,113.2792,8.81,49,89,3.16,MN,1680279880
337,say,13.1007,2.3689,39.31,5,51,2.77,NE,1680279880
338,jining,35.405,116.5814,10.21,60,1,3.32,CN,1680279880
339,paranaiba,-19.6772,-51.1908,29.75,60,58,1.58,BR,1680279880
340,flinders,-34.5833,150.8552,15.59,75,58,0.89,AU,1680279881
341,havre,49.5833,0.3333,13.44,82,100,14.4,FR,1680279881
342,kawalu,-7.3817,108.2082,23.25,92,99,0.74,ID,1680279881
343,palapye,-22.546,27.1251,28.0,34,66,5.95,BW,1680279881
344,greenwood,34.1668,-82.1165,20.46,70,20,4.02,US,1680279881
345,oksfjord,70.2396,22.3479,-0.9,93,100,9.63,NO,1680279881
346,zhezkazgan,47.8043,67.7144,4.99,33,0,9.0,KZ,1680279881
347,andenes,69.3143,16.1194,1.07,55,75,8.75,NO,1680279881
348,westport,41.1415,-73.3579,11.29,53,91,1.79,US,1680279881
349,sale,34.0389,-6.8166,24.8,73,52,4.63,MA,1680279799
350,kailua,21.4022,-157.7394,22.99,94,96,0.45,US,1680279882
351,marsa matruh,31.3525,27.2453,17.11,55,0,5.14,EG,1680279882
352,banda aceh,5.5577,95.3222,26.82,79,98,3.49,ID,1680279882
